,FAC_ID,Age_Group
0,FAC004,300-500
1,FAC059,300-500
2,FAC1002,300-500
3,FAC1011,300-500
4,FAC1022,>700
5,FAC1031,500-700
6,FAC1032,500-700
7,FAC1039,300-500
8,FAC1041,500-700
9,FAC1042,300-500
10,FAC1046,<300
11,FAC1055,300-500
12,FAC1063,300-500
13,FAC1064,300-500
14,FAC1065,<300
15,FAC1067,<300
16,FAC1069,500-700
17,FAC1070,>700
18,FAC1072,>700
19,FAC1076,300-500
20,FAC1080,500-700
21,FAC1082,500-700
22,FAC1093,300-500
23,FAC1101,500-700
24,FAC1103,500-700
25,FAC1109,300-500
26,FAC1114,<300
27,FAC1117,300-500
28,FAC1119,300-500
29,FAC1125,500-700
30,FAC1126,500-700
31,FAC1127,300-500
32,FAC1130,500-700
33,FAC1145,500-700
34,FAC1148,>700
35,FAC1154,>700
36,FAC1157,300-500
37,FAC1158,300-500
38,FAC1164,300-500
39,FAC1169,500-700
40,FAC1170,500-700
41,FAC1172,<300
42,FAC1176,<300
43,FAC1178,<300
44,FAC117,>700
45,FAC1185,500-700
46,FAC1191,300-500
47,FAC1195,300-500
48,FAC1196,300-500
49,FAC1197,300-500
50,FAC1198,300-500
51,FAC1201,300-500
52,FAC1203,300-500
53,FAC1205,300-500
54,FAC1206,300-500
55,FAC1209,300-500
56,FAC1215,300-500
57,FAC1217,300-500
58,FAC1219,300-500
59,FAC1223,300-500
60,FAC1228,300-500
61,FAC1232,300-500
62,FAC1247,300-500
63,FAC1249,300-500
64,FAC1254,300-500
65,FAC1255,300-500
66,FAC1268,300-500
67,FAC1269,<300
68,FAC1282,300-500
69,FAC1283,500-700
70,FAC1285,300-500
71,FAC1286,300-500
72,FAC1288,300-500
73,FAC1289,300-500
74,FAC1290,500-700
75,FAC1293,300-500
76,FAC1296,300-500
77,FAC1302,>700
78,FAC1305,>700
79,FAC1311,300-500
80,FAC1312,300-500
81,FAC1313,300-500
82,FAC1318,500-700
83,FAC1323,500-700
84,FAC1327,300-500
85,FAC1337,300-500
86,FAC1342,300-500
87,FAC1344,300-500
88,FAC1345,300-500
89,FAC1349,500-700
90,FAC1350,300-500
91,FAC1355,300-500
92,FAC1358,300-500
93,FAC1362,300-500
94,FAC1369,<300
95,FAC1372,<300
96,FAC1375,<300
97,FAC1379,<300
98,FAC1382,300-500
99,FAC1385,300-500
100,FAC1390,<300
101,FAC1395,<300
102,FAC1397,<300
103,FAC1398,<300
104,FAC1401,<300
105,FAC1403,<300
106,FAC1404,<300
107,FAC1409,<300
108,FAC1411,<300
109,FAC1414,<300
110,FAC1417,500-700
111,FAC1426,500-700
112,FAC1427,<300
113,FAC1428,<300
114,FAC1429,500-700
115,FAC1432,500-700
116,FAC1443,500-700
117,FAC1449,>700
118,FAC1453,<300
119,FAC1456,<300
120,FAC1457,500-700
121,FAC1462,500-700
122,FAC1466,500-700
123,FAC1472,500-700
124,FAC1474,500-700
125,FAC1478,<300
126,FAC1481,>700
127,FAC1491,>700
128,FAC1497,500-700
129,FAC1501,500-700
130,FAC1503,>700
131,FAC1516,300-500
132,FAC1529,300-500
133,FAC1536,500-700
134,FAC1549,<300
135,FAC1559,>700
136,FAC1571,<300
137,FAC1575,<300
138,FAC1581,>700
139,FAC1588,<300
140,FAC1594,<300
141,FAC1596,<300
142,FAC1598,<300
143,FAC1603,>700
144,FAC1609,>700
145,FAC1611,<300
146,FAC1612,<300
147,FAC1616,>700
148,FAC161,<300
149,FAC1625,<300
150,FAC1629,>700
151,FAC1630,>700
152,FAC1631,>700
153,FAC1632,>700
154,FAC1638,<300
155,FAC1648,>700
156,FAC1662,<300
157,FAC1666,<300
158,FAC1674,>700
159,FAC1686,<300
160,FAC1689,300-500
161,FAC168,<300
162,FAC1694,300-500
163,FAC169,<300
164,FAC1700,300-500
165,FAC1707,300-500
166,FAC1735,500-700
167,FAC1738,500-700
168,FAC173,<300
169,FAC1810,500-700
170,FAC1817,500-700
171,FAC1847,500-700
172,FAC1849,500-700
173,FAC1875,>700
174,FAC1910,<300
175,FAC192,<300
176,FAC198,300-500
177,FAC1997,300-500
178,FAC2015,300-500
179,FAC2057,300-500
180,FAC2058,300-500
181,FAC205,300-500
182,FAC2061,300-500
183,FAC206,<300
184,FAC2083,300-500
185,FAC211,300-500
186,FAC2140,<300
187,FAC217,<300
188,FAC218,>700
189,FAC225,<300
190,FAC229,<300
191,FAC230,<300
192,FAC234,>700
193,FAC248,300-500
194,FAC254,300-500
195,FAC279,500-700
196,FAC342,300-500
197,FAC414,>700
198,FAC422,<300
199,FAC429,<300
200,FAC470,500-700
201,FAC482,<300
202,FAC485,>700
203,FAC488,300-500
204,FAC497,300-500
205,FAC500,<300
206,FAC505,<300
207,FAC507,500-700
208,FAC509,300-500
209,FAC524,300-500
210,FAC533,500-700
211,FAC541,500-700
212,FAC546,300-500
213,FAC564,500-700
214,FAC573,<300
215,FAC587,300-500
216,FAC592,500-700
217,FAC596,500-700
218,FAC618,500-700
219,FAC622,>700
220,FAC629,500-700
221,FAC640,>700
222,FAC645,500-700
223,FAC650,300-500
224,FAC681,500-700
225,FAC687,500-700
226,FAC698,500-700
227,FAC701,500-700
228,FAC705,<300
229,FAC707,500-700
230,FAC708,500-700
231,FAC712,<300
232,FAC715,300-500
233,FAC719,<300
234,FAC745,>700
235,FAC755,<300
236,FAC758,500-700
237,FAC762,<300
238,FAC770,>700
239,FAC785,500-700
240,FAC794,300-500
241,FAC818,500-700
242,FAC820,500-700
243,FAC851,500-700
244,FAC875,300-500
245,FAC879,500-700
246,FAC882,500-700
247,FAC886,>700
248,FAC887,>700
249,FAC890,<300
250,FAC894,500-700
251,FAC896,<300
252,FAC898,<300
253,FAC899,300-500
254,FAC900,300-500
255,FAC907,300-500
256,FAC910,<300
257,FAC913,<300
258,FAC922,500-700
259,FAC924,500-700
260,FAC927,500-700
261,FAC929,<300
262,FAC935,<300
263,FAC945,500-700
264,FAC948,>700
265,FAC973,500-700
266,FAC974,500-700
267,FAC979,500-700
268,FAC982,500-700
269,FAC983,500-700
270,FAC984,500-700
271,FAC986,<300
272,FAC989,<300
273,FAC992,<300
274,FAC996,<300
